itrial,dgp,method,rmse,coverage,width,coverage_type,size
4,linear,jackknife+ XBART,3.2415288767584522,0.67,5.566268972734825,Overall,200
4,linear,jackknife+ XBART,2.2367811596829803,0.8181818181818182,5.536038723339842,Interior,77
4,linear,jackknife+ XBART,3.7354120212612347,0.5772357723577236,5.585193600404856,Exterior,123
4,linear,jackknife+ RF,4.227438583197853,0.71,8.305231566188015,Overall,200
4,linear,jackknife+ RF,2.942734215489591,0.8311688311688312,8.305237980873938,Interior,77
4,linear,jackknife+ RF,4.8618739703092295,0.6341463414634146,8.305227550490322,Exterior,123
4,linear,CV+ XBART,3.278847077826561,0.715,6.367504781147227,Overall,200
4,linear,CV+ XBART,2.2537827077511134,0.8441558441558441,6.374090730575493,Interior,77
4,linear,CV+ XBART,3.781688144067897,0.6341463414634146,6.363381869716525,Exterior,123
4,linear,CV+ RF,4.2417734414450425,0.73,8.809920254939868,Overall,200
4,linear,CV+ RF,2.9727245705914247,0.8311688311688312,8.801031750671983,Interior,77
4,linear,CV+ RF,4.870745882030216,0.6666666666666666,8.815484603140087,Exterior,123
5,linear,XBART,3.020636524659437,0.705,5.749885802280193,Overall,200
5,linear,XBART,1.859230118000457,0.8690476190476191,5.727195323640098,Interior,84
5,linear,XBART,3.637073385055305,0.5862068965517241,5.766316838536813,Exterior,116
5,linear,XBART-GP,2.2614353199121098,0.87,6.521710147288992,Overall,200
5,linear,XBART-GP,1.7009807521386355,0.9166666666666666,5.930627969225638,Interior,84
5,linear,XBART-GP,2.5927248308403725,0.8362068965517241,6.949735172783145,Exterior,116
5,linear,jackknife+ XBART,2.888290299919662,0.795,6.843791236876282,Overall,200
5,linear,jackknife+ XBART,1.6984876501855861,0.9642857142857143,6.831165537687371,Interior,84
5,linear,jackknife+ XBART,3.506294716727621,0.6724137931034483,6.852933984564803,Exterior,116
5,linear,jackknife+ RF,3.968459716175575,0.775,9.415726129913141,Overall,200
5,linear,jackknife+ RF,2.8476171495176885,0.8809523809523809,9.393267976001985,Interior,84
5,linear,jackknife+ RF,4.613123087194662,0.6982758620689655,9.431988931021218,Exterior,116
5,linear,CV+ XBART,3.0054288181342383,0.755,6.475678780233461,Overall,200
5,linear,CV+ XBART,1.7332373781697086,0.9285714285714286,6.469237168888996,Interior,84
5,linear,CV+ XBART,3.6603361964151064,0.6293103448275862,6.48034339534497,Exterior,116
5,linear,CV+ RF,3.999180835617334,0.745,8.911441780337537,Overall,200
5,linear,CV+ RF,2.8544107094110966,0.8690476190476191,8.860930869835121,Interior,84
5,linear,CV+ RF,4.655628767270387,0.6551724137931034,8.948018646563426,Exterior,116
6,linear,XBART,3.1519448405898807,0.69,5.806511365152954,Overall,200
6,linear,XBART,2.158345716206759,0.7875,5.631947516565883,Interior,80
6,linear,XBART,3.667736310463159,0.625,5.922887264210999,Exterior,120
6,linear,XBART-GP,2.3872387281274507,0.835,6.569476218705549,Overall,200
6,linear,XBART-GP,1.9637162133999453,0.8625,5.776209057374714,Interior,80
6,linear,XBART-GP,2.6319942370642457,0.8166666666666667,7.098320992926102,Exterior,120
6,linear,jackknife+ XBART,2.9848821056205,0.71,5.777526282157249,Overall,200
6,linear,jackknife+ XBART,1.9290944716016143,0.85,5.771928222658194,Interior,80
