itrial,n,dgp,method,rmse,coverage,width,coverage_type,time,num_outliers
0,500,linear,jackknife+ RF,2.9517480611007794,0.79,7.556272121023597,Interior,91.52479910850525,200
0,500,linear,jackknife+ RF,4.4816337644965145,0.61,7.641388790218489,Exterior,91.52479910850525,200
0,500,linear,CV+ XBART,2.3778134074897204,0.726,4.958174675389136,Overall,6.424627780914307,200
0,500,linear,CV+ XBART,1.686203695747572,0.8566666666666667,4.951866247051889,Interior,6.424627780914307,200
0,500,linear,CV+ XBART,3.1416663009883044,0.53,4.967637317895008,Exterior,6.424627780914307,200
0,500,linear,CV+ RF,3.6742681869057434,0.714,7.618497692639076,Overall,1.5737731456756592,200
0,500,linear,CV+ RF,2.9654819757108144,0.79,7.584720792339402,Interior,1.5737731456756592,200
0,500,linear,CV+ RF,4.534257574385301,0.6,7.669163043088591,Exterior,1.5737731456756592,200
1,50,linear,XBART,5.03272926504913,0.52,8.137283118627101,Overall,0.12133002281188965,46
1,50,linear,XBART,3.7145556136701696,0.75,7.731388071990759,Interior,0.12133002281188965,46
1,50,linear,XBART,5.131375142277215,0.5,8.17257834007374,Exterior,0.12133002281188965,46
1,50,linear,XBART-GP,4.453135459458721,0.6,8.6924718296394,Overall,0.3168206214904785,46
1,50,linear,XBART-GP,3.5149905896609437,0.75,8.27638126081558,Interior,0.3168206214904785,46
1,50,linear,XBART-GP,4.525531762251601,0.5869565217391305,8.728653618232775,Exterior,0.3168206214904785,46
1,50,linear,jackknife+ XBART,3.4582926405140357,0.78,7.824495094786451,Overall,6.7634358406066895,46
1,50,linear,jackknife+ XBART,1.921703130884035,1.0,8.645823807458662,Interior,6.7634358406066895,46
1,50,linear,jackknife+ XBART,3.560708367722816,0.7608695652173914,7.753075206727999,Exterior,6.7634358406066895,46
1,50,linear,jackknife+ RF,5.042288585782319,0.66,10.894921325640821,Overall,0.975449800491333,46
1,50,linear,jackknife+ RF,2.8815846661724906,1.0,11.118860524524532,Interior,0.975449800491333,46
1,50,linear,jackknife+ RF,5.187819321470521,0.6304347826086957,10.875448351824843,Exterior,0.975449800491333,46
1,50,linear,CV+ XBART,3.5500232791991393,0.8,8.645298304935249,Overall,1.2446110248565674,46
1,50,linear,CV+ XBART,1.6741913049848378,1.0,9.652257096915323,Interior,1.2446110248565674,46
