itrial,dgp,method,rmse,coverage,width,coverage_type,size
5,single_index,XBART-GP,12.5490204745006,0.27027027027027,12.9807356865267,Exterior,111
5,single_index,Jackknife+ XBART,5.32236816658733,0.842696629213483,14.4150580658287,Interior,89
5,single_index,Jackknife+ XBART,13.8233727609959,0.315315315315315,14.4248545522232,Exterior,111
5,single_index,Jackknife+ XBART-GP,5.598148347286,0.808988764044944,14.6343253490036,Interior,89
5,single_index,Jackknife+ XBART-GP,15.279471485199,0.306306306306306,14.6044350889023,Exterior,111
5,single_index,CV+ XBART,5.0941671509308,0.831460674157303,14.5434568458857,Interior,89
5,single_index,CV+ XBART,13.8087900506253,0.306306306306306,14.8496857380208,Exterior,111
5,single_index,CV+ XBART-GP,5.37708699101537,0.898876404494382,15.9218063373792,Interior,89
5,single_index,CV+ XBART-GP,13.7961983735235,0.414414414414414,17.1894253480857,Exterior,111
6,single_index,XBART,7.64755669433479,0.737864077669903,17.2800787402076,Interior,103
6,single_index,XBART,17.332817569235,0.22680412371134,17.7159438100834,Exterior,97
6,single_index,XBART-GP,7.0396734595823,0.83495145631068,17.3812939698523,Interior,103
6,single_index,XBART-GP,15.0645551744131,0.298969072164948,18.6831819225744,Exterior,97
6,single_index,Jackknife+ XBART,6.24985040494127,0.902912621359223,18.1636853895381,Interior,103
6,single_index,Jackknife+ XBART,14.8276744054125,0.298969072164948,18.2863095022628,Exterior,97
6,single_index,Jackknife+ XBART-GP,6.21011986155876,0.893203883495146,18.1818555027925,Interior,103
6,single_index,Jackknife+ XBART-GP,16.3440714761728,0.278350515463918,18.2456508943028,Exterior,97
6,single_index,CV+ XBART,6.60754443144781,0.893203883495146,20.0478722581614,Interior,103
6,single_index,CV+ XBART,15.6704262596482,0.319587628865979,20.0701401792088,Exterior,97
6,single_index,CV+ XBART-GP,6.21374345795315,0.912621359223301,19.5915360050438,Interior,103
6,single_index,CV+ XBART-GP,14.937956256454,0.402061855670103,19.9376441878045,Exterior,97
7,single_index,XBART,8.34042408428339,0.572916666666667,13.2117779459479,Interior,96
7,single_index,XBART,15.3564860587421,0.240384615384615,13.2630228401483,Exterior,104
